Entity,Code,Year,Literacy rate among young men,Literacy rate among young women,World region according to OWID
Afghanistan,AFG,1979,46.0,11.0,Asia
Afghanistan,AFG,2011,62.0,32.0,Asia
Afghanistan,AFG,2015,57.73505,25.48416,Asia
Afghanistan,AFG,2021,71.0,42.0,Asia
Afghanistan,AFG,2022,83.4,44.17171,Asia
Albania,ALB,2001,99.0,99.0,Europe
Albania,ALB,2005,,99.49,Europe
Albania,ALB,2008,99.0,99.0,Europe
Albania,ALB,2009,94.82,96.61,Europe
Albania,ALB,2011,99.0,99.0,Europe
Albania,ALB,2012,99.0,99.0,Europe
Albania,ALB,2017,98.58999,99.52556,Europe
Algeria,DZA,1987,86.0,62.0,Africa
Algeria,DZA,2002,94.0,86.0,Africa
Algeria,DZA,2006,94.0,89.0,Africa
Algeria,DZA,2008,96.0,92.0,Africa
Algeria,DZA,2019,64.79,97.9897,Africa
American Samoa,ASM,1980,98.0,97.0,Oceania
Angola,AGO,2001,84.0,63.0,Africa
Angola,AGO,2014,85.0,71.0,Africa
Angola,AGO,2015,83.96919,67.4276,Africa
Anguilla,AIA,1984,99.0,99.0,North America
Argentina,ARG,1980,96.0,97.0,South America
Argentina,ARG,1991,98.0,99.0,South America
Argentina,ARG,2001,99.0,99.0,South America
Armenia,ARM,1989,100.0,100.0,Asia
Armenia,ARM,2000,100.0,100.0,Asia
Armenia,ARM,2001,100.0,100.0,Asia
Armenia,ARM,2011,100.0,100.0,Asia
Armenia,ARM,2016,100.0,100.0,Asia
Armenia,ARM,2017,100.0,100.0,Asia
Armenia,ARM,2020,100.0,100.0,Asia
Armenia,ARM,2022,99.64871,99.91656,Asia
Aruba,ABW,2000,99.0,99.0,North America
Aruba,ABW,2010,99.0,99.0,North America
Azerbaijan,AZE,1999,100.0,100.0,Asia
Azerbaijan,AZE,2006,100.0,100.0,Asia
Azerbaijan,AZE,2007,100.0,100.0,Asia
Azerbaijan,AZE,2009,100.0,100.0,Asia
Azerbaijan,AZE,2010,100.0,100.0,Asia
Azerbaijan,AZE,2011,100.0,100.0,Asia
Azerbaijan,AZE,2012,100.0,100.0,Asia
Azerbaijan,AZE,2013,100.0,100.0,Asia
Azerbaijan,AZE,2014,100.0,100.0,Asia
Azerbaijan,AZE,2015,100.0,100.0,Asia
Azerbaijan,AZE,2016,100.0,100.0,Asia
Azerbaijan,AZE,2017,100.0,100.0,Asia
Azerbaijan,AZE,2019,100.0,100.0,Asia
Azerbaijan,AZE,2023,100.0,100.0,Asia
Bahrain,BHR,1981,90.0,82.0,Asia
Bahrain,BHR,1991,97.0,97.0,Asia
Bahrain,BHR,2001,97.0,97.0,Asia
Bahrain,BHR,2022,99.0,99.0,Asia
Bahrain,BHR,2023,99.0,99.0,Asia
Bangladesh,BGD,1981,44.0,27.0,Asia
Bangladesh,BGD,1991,52.0,38.0,Asia
Bangladesh,BGD,2000,100.0,100.0,Asia
Bangladesh,BGD,2001,67.0,60.0,Asia
Bangladesh,BGD,2006,,87.2,Asia
Bangladesh,BGD,2007,90.51,77.09,Asia
Bangladesh,BGD,2011,76.0,80.0,Asia
Bangladesh,BGD,2012,76.0,79.0,Asia
Bangladesh,BGD,2013,84.0,87.0,Asia
Bangladesh,BGD,2014,85.0,86.0,Asia
Bangladesh,BGD,2015,86.0,90.0,Asia
Bangladesh,BGD,2016,91.0,94.0,Asia
Bangladesh,BGD,2017,92.0,94.0,Asia
Bangladesh,BGD,2018,92.0,95.0,Asia
Bangladesh,BGD,2019,94.0,96.0,Asia
Bangladesh,BGD,2020,93.0,96.0,Asia
Bangladesh,BGD,2021,94.0,96.0,Asia
Bangladesh,BGD,2022,92.0,94.0,Asia
Barbados,BRB,1970,100.0,100.0,North America
Barbados,BRB,2012,100.0,100.0,North America
Belarus,BLR,1989,100.0,100.0,Europe
Belarus,BLR,1999,100.0,100.0,Europe
Belarus,BLR,2005,,99.98,Europe
Belarus,BLR,2009,100.0,100.0,Europe
Belarus,BLR,2012,100.0,100.0,Europe
Belarus,BLR,2019,100.0,100.0,Europe
Belize,BLZ,1991,77.0,78.0,North America
Belize,BLZ,2006,,95.13,North America
Belize,BLZ,2011,,96.6,North America
Belize,BLZ,2015,97.82818,98.07905,North America
Benin,BEN,1979,46.0,18.0,Africa
Benin,BEN,1992,55.0,27.0,Africa
Benin,BEN,2001,61.08,31.85,Africa
Benin,BEN,2002,59.0,33.0,Africa
Benin,BEN,2006,72.07,39.53,Africa
Benin,BEN,2017,66.79979,50.98536,Africa
Benin,BEN,2019,76.35444,62.76271,Africa
Benin,BEN,2021,70.96799,59.18644,Africa
Benin,BEN,2022,74.60011,67.93813,Africa
Bhutan,BTN,2005,80.0,68.0,Asia
Bhutan,BTN,2010,,63.34,Asia
Bhutan,BTN,2012,90.0,82.0,Asia
Bhutan,BTN,2017,93.0,93.0,Asia
Bolivia,BOL,1976,91.0,76.0,South America
Bolivia,BOL,1992,96.0,92.0,South America
Bolivia,BOL,2000,98.4,96.3,South America
Bolivia,BOL,2001,98.2,96.5,South America
Bolivia,BOL,2002,99.1,97.1,South America
Bolivia,BOL,2003,99.47,96.67,South America
Bolivia,BOL,2004,99.6,98.6,South America
Bolivia,BOL,2005,99.3,98.4,South America
Bolivia,BOL,2006,99.4,97.4,South America
Bolivia,BOL,2007,99.8,99.1,South America
Bolivia,BOL,2008,99.4,99.0,South America
Bolivia,BOL,2009,99.7,99.1,South America
Bolivia,BOL,2011,99.3,98.8,South America
Bolivia,BOL,2012,99.5,99.2,South America
Bolivia,BOL,2013,99.5,99.2,South America
Bolivia,BOL,2014,99.7,99.2,South America
Bolivia,BOL,2015,99.4,99.4,South America
Bolivia,BOL,2016,99.5,99.3,South America
Bolivia,BOL,2017,99.4,99.3,South America
Bolivia,BOL,2018,99.7,99.4,South America
Bolivia,BOL,2019,99.7,99.4,South America
Bolivia,BOL,2020,99.6,99.5,South America
Bolivia,BOL,2021,99.5,99.5,South America
Bosnia and Herzegovina,BIH,1991,99.0,99.0,Europe
Bosnia and Herzegovina,BIH,2000,100.0,100.0,Europe
Bosnia and Herzegovina,BIH,2006,,99.82,Europe
Bosnia and Herzegovina,BIH,2013,100.0,100.0,Europe
Botswana,BWA,1991,86.0,92.0,Africa
Botswana,BWA,2003,92.0,96.0,Africa
